time,close,score,conf,pti,qdd_dir,qdd_conf,gravity_block_bull,gravity_block_bear,wick_bull,wick_bear,ema_trend,ema_macro,ema_gravity,atr,last_polar,bars_neutral
2026-04-29 13:00:00,77575.16,1,2,0.6681348060775186,1,0,0,0,0,0,76858.17563656402,77120.44099334146,,,1,
2026-04-29 14:00:00,77550.78,1,3,0.6254565640986067,1,0,0,1,0,0,76897.75318914007,77130.23529039462,,,1,
2026-04-29 15:00:00,77108.88,0,100000301,0.14757961613597123,1,0,1,0,0,0,76909.81651308529,77128.22503803986,,,1,
2026-04-29 16:00:00,76748.2,2,1,0.81734231482091,2,0,1,0,0,0,76900.58329277391,77122.67628060663,,,1,
2026-04-29 17:00:00,76539.92,2,2,0.8637839659116713,2,0,1,0,0,0,76879.97269344133,77107.89769889884,,,2,
2026-04-29 18:00:00,75874.97,2,3,1.0,2,0,0,0,0,0,76822.54128751368,77076.63489257138,,,2,
2026-04-29 19:00:00,75774.26,2,4,1.0,2,0,0,0,0,0,76762.64049207303,77049.12392562587,,,2,
2026-04-29 20:00:00,76137.55,2,5,0.554369201915115,2,0,1,0,0,0,76726.92180233913,77029.97239305322,,,2,
2026-04-29 21:00:00,75469.3,2,6,0.7817002973572236,2,0,0,0,0,0,76655.05764705056,76995.21539040036,,,2,
2026-04-29 22:00:00,75524.41,2,7,0.31192698564888105,2,0,1,0,0,0,76590.4505254224,76964.42706698712,,,2,
2026-04-29 23:00:00,75746.58,2,8,0.03934404990468738,2,0,1,0,0,0,76542.23028096149,76938.7022363485,,,2,
2026-04-30 00:00:00,75882.99,2,9,0.35874490808918325,2,0,1,0,0,0,76504.562601567,76919.84624310043,,,2,
2026-04-30 01:00:00,75883.28,2,10,0.35021472186850444,2,0,1,0,0,0,76469.05967531049,76895.27853971947,,,2,
2026-04-30 02:00:00,75749.31,2,11,0.2169576809719713,2,0,1,0,0,0,76427.93404367089,76874.0239089079,,,2,
2026-04-30 03:00:00,76198.64,2,12,0.42318325159778675,2,0,1,0,0,0,76414.82925197696,76855.73579799739,,,2,
2026-04-30 04:00:00,76191.55,2,13,0.27597963901549816,2,0,1,0,0,0,76402.06705906712,76836.10555477646,,,2,
2026-04-30 05:00:00,75661.77,2,14,0.19727932934529877,2,0,1,0,0,0,76359.76349881354,76808.75331397682,,,2,
2026-04-30 06:00:00,75881.11,2,15,0.13109558455666734,2,0,1,0,0,0,76332.41007591652,76785.55216900058,,,2,
2026-04-30 07:00:00,75455.14,2,16,0.6910924860508646,2,0,1,0,0,0,76282.28168387318,76757.89989068241,,,2,
2026-04-30 08:00:00,75568.85,2,17,0.5403224560816449,2,0,1,0,0,0,76241.51370219195,76730.81789616858,,,2,
2026-04-30 09:00:00,75719.87,2,18,0.07082405488466571,2,0,1,0,0,0,76211.70374676047,76705.83836319517,,,2,
2026-04-30 10:00:00,76129.84,2,19,0.3554174941419616,2,0,1,0,0,0,76207.02625542822,76693.66846933676,,,2,
2026-04-30 11:00:00,76025.53,2,20,0.6657274277161913,2,0,1,0,0,0,76196.65052850632,76672.31584882479,,,2,
2026-04-30 12:00:00,76062.24,2,21,0.5196165272194646,2,0,1,0,0,0,76188.97522320456,76666.39394531821,,,2,
2026-04-30 13:00:00,76001.06,2,22,0.3289770387558971,2,0,1,0,0,0,76178.2359151707,76649.7414346412,,,2,
2026-04-30 14:00:00,76032.63,2,23,0.12844321677725234,2,0,1,0,0,0,76169.91629979941,76637.06962361449,,,2,
2026-04-30 15:00:00,76258.51,2,24,0.3357140696652665,2,0,1,0,0,0,76174.98413775339,76636.35663786682,,,2,
2026-04-30 16:00:00,76369.54,2,25,0.3397837721900377,1,0,1,0,0,0,76186.10191473909,76630.85863246057,,,2,
2026-04-30 17:00:00,76254.86,2,26,0.29259232686992054,2,0,1,0,0,0,76190.0304837012,76621.83349760505,,,2,
2026-04-30 18:00:00,76428.36,2,27,0.41769887646456916,1,0,1,0,0,0,76203.65938481798,76632.05361488769,,,2,
2026-04-30 19:00:00,76219.63,2,28,0.06088333002880761,2,0,1,0,0,0,76204.57137971,76622.00681605983,,,2,
2026-04-30 20:00:00,76208.11,2,29,0.30953067934406886,1,0,1,0,0,0,76204.77348903875,76612.6684854167,,,2,
2026-04-30 21:00:00,76308.14,2,30,0.08373333244106099,1,0,1,0,0,0,76210.68386374356,76611.25962698458,,,2,
2026-04-30 22:00:00,76372.8,0,200003001,0.08988713014969546,1,0,1,0,0,0,76219.9477629718,76606.13353924351,,,2,
2026-04-30 23:00:00,76499.4,0,200003002,0.5160041651746531,1,0,1,0,0,0,76235.91653056628,76603.86019753588,,,2,
2026-05-01 00:00:00,76202.34,2,33,0.022496724758716384,2,0,1,0,0,0,76233.99779055719,76594.82058213506,,,2,
2026-05-01 01:00:00,76198.36,0,200003301,0.2848495230184615,1,0,1,0,0,0,76231.96127255306,76585.90535396423,,,2,
2026-05-01 02:00:00,76305.11,0,200003302,0.11334643000913736,1,0,1,0,0,0,76236.14242244056,76581.4279994788,,,2,
2026-05-01 03:00:00,76415.11,0,200003303,0.1336193785291363,1,0,1,0,0,0,76246.37027412088,76579.36535544328,,,2,
2026-05-01 04:00:00,76643.39,1,1,0.6789074355154853,1,0,0,0,0,0,76269.05658820606,76580.02781954115,,,2,
2026-05-01 05:00:00,76552.51,0,100000101,0.49614015705832754,1,0,1,0,0,0,76285.2585658779,76586.10526087749,,,1,
